,0,1,2,3,4,5,6,7
0,11.88903618,157.0082245,1.355912209,318.3617554,183.6469727,1.851882339,575,21
1,12.49753952,153.875412,1.354224086,321.6987,185.0406342,1.849786162,573,18
2,12.99023247,153.875412,1.355637431,338.2460632,183.9217834,1.849629521,569,18
3,13.47899818,163.0304413,1.359445453,327.8622437,187.6120605,1.846691012,567,15
4,12.90190125,162.6143036,1.356795549,336.9309082,186.7876282,1.846651793,563,13
5,12.07551384,162.151062,1.357168436,341.4456177,183.76474,1.845554829,563,11
6,11.15294456,159.0104065,1.357875109,329.2559204,183.76474,1.845789909,573,10
7,10.5719223,156.3957977,1.358503222,324.8589783,183.5880737,1.844888687,565,7
8,10.11652565,153.632019,1.357345104,333.9669189,187.6513062,1.842165709,560,6
9,9.812274933,162.575058,1.358483553,329.6288757,187.0820618,1.842185259,559,6
10,9.688610077,162.3080902,1.356658101,323.1708679,184.6676788,1.839579821,559,7
11,9.959493637,161.8369904,1.357816219,331.1403198,182.6851349,1.838717937,553,9
12,10.05763817,157.2280731,1.358071446,332.3180542,181.2718506,1.835994959,544,11
13,10.23430061,157.6599121,1.355971098,333.7706299,184.5695343,1.834212303,544,9
14,9.898641586,162.151062,1.362330914,350.0628052,182.6262512,1.83301723,541,8
15,9.841718674,163.3209534,1.361840248,341.4063416,183.8628845,1.833409071,536,8
16,9.472690582,162.1432037,1.362272024,343.8599854,184.3339844,1.829216838,536,7
17,9.19984436,152.8782501,1.361997247,349.4542847,183.8236237,1.826454639,530,7
18,9.044775009,156.9611206,1.363940477,340.9941406,186.1202393,1.826493859,524,10
19,9.562984467,152.5170746,1.362213135,358.8959045,184.2554779,1.824730754,525,11
20,9.688610077,159.9918518,1.365471601,346.5491943,185.3154449,1.823731661,524,12
21,9.655241013,152.2815247,1.364882708,343.3103638,184.2751007,1.822360396,519,14
22,9.74946022,164.3495178,1.365883827,344.9395752,185.1191559,1.822242856,523,14
23,9.843681335,160.337326,1.364568591,348.2961731,187.5727997,1.82359457,519,14
24,10.26570702,160.1017761,1.364804149,347.0202942,188.2598114,1.823006868,515,15
25,10.29711342,156.6706085,1.359857678,347.0987854,184.196579,1.821576834,513,16
26,10.32655716,151.0331116,1.365393043,364.5491028,183.7843781,1.82036221,514,18
27,9.655241013,163.1246643,1.365491152,352.006073,182.8421783,1.82036221,511,17
28,9.193956375,154.9903564,1.362841249,352.5556946,183.6273346,1.820440531,510,18
29,9.166475296,162.4337158,1.369220734,349.9842834,184.2751007,1.818677425,516,19
30,9.778903961,157.5656891,1.366256714,356.6778259,187.6120605,1.819656968,507,20
31,9.814237595,166.1004486,1.364509702,348.9243164,183.6469727,1.819852829,512,21
32,10.02230644,157.887619,1.360426903,330.4336548,184.7069397,1.820851922,508,22
33,9.839754105,162.0332947,1.360485792,335.2035522,184.9424896,1.821713924,512,22
34,10.35796356,154.8019104,1.360073566,326.5863647,183.4310455,1.824025512,517,21
35,10.32655716,155.2023468,1.360387683,338.2460632,183.5684509,1.822948098,512,19
36,10.42077827,158.3979645,1.364234924,333.3583984,184.3928833,1.822105646,514,17
37,9.932012558,159.3637238,1.364509702,333.6332092,186.0417175,1.822144866,514,13
38,9.780866623,161.0596771,1.365451932,352.712738,187.0231781,1.819402337,510,10
39,9.468763351,157.7227325,1.36653161,345.5873413,186.3557892,1.820342541,514,8
40,9.808347702,165.5115662,1.368474841,347.9232178,188.7701721,1.82042098,509,6
41,9.812274933,159.1360321,1.370496631,378.3680115,183.332901,1.81716907,500,5
42,9.930049896,166.0140686,1.370437741,354.3419495,185.766922,1.814152241,502,6
43,10.02230644,154.8411713,1.37253809,360.3092041,184.883606,1.812878847,495,9
44,10.26570702,163.6821289,1.371458411,367.8468018,185.5509949,1.811174512,491,10
45,10.69951057,162.3630524,1.371438861,369.8685913,185.0210114,1.809352636,485,10
46,10.05371284,161.1696014,1.375011325,369.2404785,184.1769562,1.807785511,482,9
47,9.629722595,158.9475861,1.377837896,396.6427307,187.7494659,1.80753088,482,8
48,9.594390869,162.4180145,1.378348351,399.9600525,187.6709442,1.805003762,476,7
49,9.99090004,160.3687286,1.381960034,397.015686,187.8083496,1.80423975,480,7
50,9.93397522,164.49086,1.381233811,402.8062744,181.7429352,1.805356383,478,6
51,10.23430061,166.2182159,1.377072453,381.1749878,189.9086609,1.806296706,485,6
52,9.992862701,153.34935,1.377798676,366.2372131,185.2958221,1.808294773,486,8
53,10.47966576,162.8655701,1.375305772,378.8194885,186.9250336,1.807707071,491,9
54,9.898641586,160.5571747,1.378740907,399.1159973,183.5684509,1.806923509,489,9
55,10.35796356,162.677124,1.380900025,401.8248291,184.3143616,1.806002855,477,8
56,10.6033287,167.5372925,1.383569598,412.9545593,184.4713898,1.80435729,475,7
57,10.97431946,163.2424469,1.386180282,406.0647278,186.9446564,1.804435611,477,8
58,11.0351696,162.5986023,1.38233304,400.5096741,183.9610291,1.806629658,478,8
59,10.79176903,158.0053864,1.380900025,396.2894287,184.9817505,1.805415154,482,8
60,10.72699165,161.7035217,1.385081053,392.402832,187.690567,1.805571795,479,9
61,10.5405159,156.4193573,1.376660228,390.2043762,184.216217,1.808960915,480,9
62,10.57584763,149.2586365,1.383059263,389.1444092,184.7658234,1.807667971,485,8
63,10.79176903,159.8505249,1.378662348,391.3624878,185.6491394,1.809215546,482,8
64,10.87813568,159.6934967,1.377916455,386.7496643,184.1180725,1.810292959,488,9
65,10.69951057,153.7497864,1.374579549,379.0746765,182.8225403,1.810430169,491,9
66,10.44825745,159.2066956,1.378662348,388.4770203,184.6087952,1.81052804,491,8
67,10.5719223,157.3458557,1.374775767,381.9012451,183.4703064,1.8104105,490,7
68,10.72895432,157.0317841,1.379663467,375.5217896,182.3318176,1.811487913,488,8
69,10.72699165,162.9440765,1.380487919,380.1346436,185.5902557,1.81062603,489,10
70,10.76036072,157.1809692,1.378760457,383.5108337,183.8628845,1.810939431,485,9
71,10.72895432,162.1275024,1.379879355,383.4715881,185.5902557,1.811997294,486,7
72,10.85065651,159.5443115,1.38139081,398.5467529,183.1758728,1.811977744,489,8
73,10.85065651,154.7626495,1.382313371,403.7092285,185.079895,1.810332179,489,10
74,11.12546349,156.9689636,1.380821586,389.5762634,186.1595001,1.808941364,481,9
75,11.12546349,161.3187866,1.385120392,400.1759949,186.0809784,1.808725834,481,8
76,11.67507935,163.1168213,1.381920815,414.4267273,186.39505,1.807295799,480,9
77,11.73985481,165.5351257,1.385885835,405.2599182,181.6644287,1.8104105,480,8
78,11.97933197,149.8161163,1.386965513,406.9480286,185.9632111,1.807667971,480,10
79,11.18238831,150.4599457,1.39324677,419.4714355,184.3536224,1.80755043,479,11
